ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
124,Like sleeping in,1,2,2.1057,3.5853,,,HighReward_SimPeer,5
187.0,Don't like eating healthy,1,1,2.8345,5.4701,,,HighReward_Computer,4
73.0,Like being with friends,1,1,1.0759,4.4067,,,HighReward_Computer,4
35,Like cartoons,1,2,2.0518,2.6064,,,HighReward_SimPeer,5
209,Play video games,0,0,1.1561,4.2019,,,LowReward_DisPeer,0
171.0,Don't like hip hop,1,0,4.1899,4.6338,,,HighReward_DisPeer,3
141,Like playing sports,0,0,2.7652,2.1521,,,LowReward_DisPeer,0
8.0,Don't like meditating,1,2,2.1522,2.827,,,HighReward_SimPeer,5
32,Disorganized,1,2,3.0051,5.6062,,,HighReward_SimPeer,5
108.0,Like fast food,1,1,2.0961,2.6064,,,HighReward_Computer,4
60.0,Not an artist,1,1,1.9117,2.3385,,,HighReward_Computer,4
154.0,Don't like musicals,0,0,2.8345,4.6885,,,LowReward_DisPeer,0
75.0,Like drawing,0,1,1.7280000000000002,4.5208,,,LowReward_Computer,1
28,Like vacations,1,2,2.3554,2.0225,,,HighReward_SimPeer,5
11.0,Speak Spanish,0,2,4.1197,3.0518,,,LowReward_SimPeer,2
136,Like computer games,0,0,1.1633,2.1505,,,LowReward_DisPeer,0
164.0,Close with family,0,1,1.1279,4.2019,,,LowReward_Computer,1
174,Like birds,0,0,4.0428,3.9772,,,LowReward_DisPeer,0
179.0,Don't like rock music,0,0,2.8018,4.0015,,,LowReward_DisPeer,0
96.0,Don't like history,0,2,2.2295,3.2258,,,LowReward_SimPeer,2
105.0,Don't like checkers,1,2,3.1616,3.7522,,,HighReward_SimPeer,5
48.0,Don't like bowling,0,1,3.2502,2.7743,,,LowReward_Computer,1
87.0,Like summer,1,0,0.99611,3.1062,,,HighReward_DisPeer,3
185,Like funny movies,1,2,2.8428,2.0429,,,HighReward_SimPeer,5
111,Like being alone,1,2,2.0397,2.4076,,,HighReward_SimPeer,5
54.0,Like video chatting,0,1,1.915,2.2057,,,LowReward_Computer,1
150.0,A good student,1,1,2.6639999999999997,3.5144,,,HighReward_Computer,4
104.0,Don't like barbeques,1,2,3.56,5.5052,,,HighReward_SimPeer,5
193.0,Like lunch time,1,1,1.8156,2.559,,,HighReward_Computer,4
100.0,Like field trips,1,0,1.8224,2.3792,,,HighReward_DisPeer,3
152,Like breakfast food,1,2,4.4597,4.1097,,,HighReward_SimPeer,5
160,Like poetry,0,0,1.8536,3.2673,,,LowReward_DisPeer,0
29,A reader,0,0,1.3003,5.6591,,,LowReward_DisPeer,0
206.0,Don't like shopping,0,0,2.3554,4.1522,,,LowReward_DisPeer,0
56.0,Like camping,0,2,4.0077,1.9679,,,LowReward_SimPeer,2
126.0,Like listening to music,0,1,1.4029,3.9772,,,LowReward_Computer,1
201.0,Don't have a job,1,1,3.2533,4.6866,,,HighReward_Computer,4
9.0,Don't like yoga,0,1,3.0051,2.0693,,,LowReward_Computer,1
113,Like phone calls,1,2,2.9304,3.0482,,,HighReward_SimPeer,5
38,Like jigsaw puzzles,0,0,2.2871,2.6382,,,LowReward_DisPeer,0
4.0,Like short stories,0,2,1.5433,4.6358,,,LowReward_SimPeer,2
132,Like game streaming,0,0,4.1899,5.2257,,,LowReward_DisPeer,0
173.0,Not an activist,1,2,3.4154,5.0194,,,HighReward_SimPeer,5
77.0,Like cooking shows,1,1,2.1972,3.1496,,,HighReward_Computer,4
195.0,Not popular,0,0,1.3565,4.5043,,,LowReward_DisPeer,0
192.0,Loving,0,1,2.2701,3.1185,,,LowReward_Computer,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
